Subject: fp1
Blockt: 4

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	357	0	343	1	1	1	0	1	1	1949
2	1	386	2	314	3	2	2	0	1	1	1303
3	1	241	0	459	1	1	1	0	1	1	695
4	2	311	0	389	4	2	2	0	1	1	852
5	0	624	0	76	3	2	2	0	1	1	710
6	0	306	0	394	2	1	1	0	1	1	809
7	2	262	0	438	2	1	1	0	1	1	617
8	2	345	1	355	2	1	1	0	1	1	658
9	0	518	2	182	1	1	1	0	1	1	873
10	1	82	0	618	1	1	1	0	1	1	1066
11	0	281	0	419	2	1	1	0	1	1	649
12	0	610	0	90	4	2	2	0	1	1	790
13	0	208	0	492	2	1	1	0	1	1	669
14	0	391	2	309	3	2	2	0	1	1	605
15	0	370	0	330	4	2	2	0	1	1	983
16	1	144	1	556	3	2	2	0	1	1	630
17	0	171	0	529	4	2	2	0	1	1	661
18	1	408	0	292	1	1	1	0	1	1	1073
19	0	608	0	92	2	1	1	0	1	1	827
20	1	531	0	169	3	2	2	0	1	1	605
21	2	480	0	220	2	1	1	0	1	1	788
22	1	591	0	109	1	1	1	0	1	1	455
23	1	244	0	456	3	2	2	0	1	1	697
24	0	621	2	79	4	2	2	0	1	1	1149
25	0	103	0	597	1	1	1	0	1	1	882
26	2	316	0	384	2	1	1	0	1	1	468
27	1	458	0	242	1	1	1	0	1	1	514
28	2	258	0	442	4	2	2	0	1	1	761
29	2	604	2	96	4	2	2	0	1	1	1628
30	1	184	0	516	3	2	2	0	1	1	745
31	0	158	0	542	3	2	2	0	1	1	774
32	0	196	0	504	1	1	1	0	1	1	623
